Size,Insertion,Merge,Heap,Quick
44,39039908,1893246,217,2619998
54,11365436,609245,288,824261
57,19817635,1030628,311,1407850
57,37415,7786,315,9188
80,27593215,1364802,495,1878452
84,39028971,1890271,525,2616533
109,27699084,1384460,744,1902736
113,18164,3479,783,4082
113,27667201,1378298,789,1895103
139,27627525,1371129,1022,1886204
151,19853241,1036811,1130,1415188
160,4789813,293107,1223,390066
182,32210766,1605045,1443,2211127
208,4139583,245118,1713,328669
225,17509375,917801,1893,1248854
254,1633204,83484,2202,115715
263,11460408,620157,2299,837437
280,5839859,356533,2475,474021
302,17335888,900124,2712,1226790
321,3964584,227494,2920,306711
358,17066326,876811,3339,1197172
389,16719429,849628,3703,1162610
412,1934792,108042,3986,147498
419,30376623,1517610,4050,2088539
424,19611988,1014885,4101,1388094
449,20160299,1059578,4408,1444967
477,4496766,271317,4743,361971
561,3471772,195116,5765,264996
585,28186699,1412803,6059,1941515
606,5320625,324134,6329,432059
611,2625409,148771,6401,202671
613,6446375,392188,6421,521524
703,7538444,446144,7563,595305
721,21093712,1107450,7818,1510425
752,10720791,579805,8204,782732
757,12320752,662783,8310,896381
765,13759070,726182,8387,985351
771,38347647,1858957,8463,2573350
779,866704,44768,8579,61504
790,22508659,1170593,8724,1599526
794,36827419,1793654,8765,2481258
794,29434973,1470361,8769,2022952
799,31448680,1568585,8831,2160177
804,35243862,1726636,8890,2387562
858,18555730,964589,9625,1317580
863,9105788,512487,9694,687746
891,24298825,1242190,10051,1699443
920,15554835,798319,10420,1088080
922,33407297,1653763,10463,2282508
991,26507270,1323805,11419,1819024
