Size,Insertion,Merge,Heap,Quick
518,370847,22078,5256,29500
546,1078221,63673,5594,87055
117,1432666,86566,817,118218
402,1671486,105942,3850,143243
742,2612128,153186,8084,207503
803,4122832,217891,8837,297330
982,6194834,295132,11281,410320
759,8064780,368290,8296,516579
310,8843508,408736,2812,572002
676,9565184,448879,7235,626594
619,10608048,501059,6487,696319
726,11756684,556379,7871,775209
476,12654096,603380,4720,840547
396,13127089,635835,3798,883652
279,13405831,659526,2461,912975
550,13906363,691909,5649,956116
703,14908196,743092,7606,1026523
69,15462766,770886,409,1064715
879,16515996,813617,9873,1126805
658,17970880,876676,6995,1218304
932,19646054,944818,10598,1318529
308,20741534,992824,2778,1388582
144,20876093,1007268,1065,1407068
446,21175221,1029655,4380,1436282
998,22769742,1092537,11479,1530213
906,25024929,1174289,10269,1655355
965,27228798,1255196,11023,1775772
802,29163692,1329878,8864,1884396
849,30871602,1399866,9465,1987132
246,31762096,1441206,2104,2045427
558,32253120,1472769,5728,2087188
1000,33970502,1540399,11540,2184756
379,35287644,1594824,3598,2261226
276,35554565,1617692,2421,2290015
456,35930434,1645244,4487,2324732
714,36859144,1693151,7702,2388732
207,37488381,1726946,1690,2433996
151,37566243,1737894,1131,2447705
297,37708759,1753329,2671,2467783
898,38910102,1804910,10131,2542105
368,39997428,1854304,3460,2611489
786,40998886,1902562,8660,2676950
290,41803024,1943288,2576,2732622
809,42791596,1989795,8949,2800152
232,43597540,2028927,1956,2854230
673,44286475,2065993,7180,2904509
652,45374944,2119795,6922,2980356
996,47190155,2191212,11467,3084879
960,49569671,2275845,10984,3210477
970,51902027,2359429,11118,3334673
