Size,Insertion,Merge,Heap,Quick
30,239,111,131,119
40,428,164,194,178
50,690,221,264,269
60,930,282,339,350
70,1249,342,422,407
80,1662,409,503,487
90,2102,474,582,563
100,2636,543,668,657
110,3258,612,757,802
120,3687,682,861,836
130,4296,749,946,893
140,5031,825,1042,952
150,5828,900,1135,1121
160,6561,971,1238,1163
170,7487,1048,1335,1268
180,8082,1127,1442,1381
190,9121,1203,1542,1452
200,10264,1283,1638,1578
210,11133,1355,1745,1723
220,12277,1440,1846,1700
230,13248,1518,1955,1859
240,14299,1593,2068,1964
250,15756,1678,2166,2023
260,17115,1760,2285,2150
270,18007,1843,2403,2297
280,20040,1927,2503,2356
290,21251,2013,2600,2378
300,22660,2100,2717,2577
310,23943,2182,2840,2738
320,25240,2264,2951,2654
330,27722,2350,3061,2786
340,29096,2437,3186,2910
350,31035,2526,3289,3116
360,32393,2610,3411,3133
370,34790,2694,3525,3495
380,36574,2792,3636,3408
390,38128,2876,3754,3526
400,40590,2961,3869,3599
410,42736,3050,3981,3908
420,45500,3140,4106,3850
430,45998,3231,4240,3795
440,49032,3316,4360,4197
450,50761,3401,4478,4254
460,54038,3491,4590,4203
470,55185,3586,4722,4272
480,57861,3672,4844,4505
490,61067,3766,4961,4683
500,63239,3854,5105,4740
510,65896,3938,5226,4955
520,68009,4039,5352,5199
530,70940,4133,5447,5159
540,73989,4224,5576,5229
550,76742,4322,5695,5366
560,78637,4416,5834,5604
570,81814,4515,5981,5739
580,84463,4609,6097,5781
590,87514,4696,6205,5992
600,91363,4790,6336,5881
610,93871,4893,6470,6167
620,97448,4974,6570,6362
630,98875,5072,6729,6262
640,104001,5169,6854,6545
650,106664,5270,6963,6699
660,109784,5360,7113,6910
670,111627,5460,7254,6796
680,115665,5564,7379,6984
690,119370,5658,7474,6933
700,122798,5740,7633,7105
710,127788,5841,7735,7539
720,128306,5937,7892,7424
730,133994,6038,8015,7331
740,137495,6137,8131,7587
750,141343,6228,8290,7656
760,145888,6334,8412,7937
770,148399,6432,8566,8203
780,151657,6517,8689,8053
790,157030,6620,8807,8322
800,162772,6725,8936,8578
810,166006,6828,9066,8506
820,169235,6918,9223,8665
830,173755,7017,9320,9097
840,177208,7104,9469,8753
850,180732,7211,9617,8894
860,185563,7308,9741,9107
870,188902,7408,9871,9441
880,195220,7514,10012,9466
890,198196,7605,10159,9770
900,205780,7711,10278,9527
910,208743,7804,10433,9607
920,213453,7906,10575,9787
930,217258,8002,10698,10504
940,220772,8102,10858,10042
950,225828,8214,10997,10240
960,230426,8301,11132,10613
970,238134,8409,11249,10532
980,237860,8510,11406,10524
990,244645,8601,11539,10693
1000,252469,8711,11666,11041
